# Format: IP:PORT|Negara|Provider|Emoji
68.183.225.227:443|Singapore|DigitalOcean, LLC|🇸🇬
194.87.10.241:443|Singapore|Baxet Group Inc.|🇸🇬
157.230.244.86:443|Singapore|DigitalOcean, LLC|🇸🇬
157.230.39.201:8443|Singapore|DigitalOcean, LLC|🇸🇬
157.230.39.201:2053|Singapore|DigitalOcean, LLC|🇸🇬
68.183.230.164:443|Singapore|DigitalOcean, LLC|🇸🇬
206.189.82.100:443|Singapore|DigitalOcean, LLC|🇸🇬
178.128.209.190:443|Singapore|DigitalOcean, LLC|🇸🇬
209.97.160.109:443|Singapore|DigitalOcean, LLC|🇸🇬
178.128.211.191:443|Singapore|DigitalOcean, LLC|🇸🇬
159.223.93.80:443|Singapore|DigitalOcean, LLC|🇸🇬
167.71.221.62:443|Singapore|DigitalOcean, LLC|🇸🇬
167.71.222.177:443|Singapore|DigitalOcean, LLC|🇸🇬
45.77.255.153:8443|Singapore|Strong Technology, LLC|🇸🇬
188.166.230.196:443|Singapore|DigitalOcean, LLC|🇸🇬
128.199.128.117:443|Singapore|DigitalOcean, LLC|🇸🇬
188.239.9.91:443|Singapore|Huawei-Cloud-SG|🇸🇬
140.245.107.0:8443|Singapore|Oracle Corporation|🇸🇬
159.89.207.154:443|Singapore|DigitalOcean, LLC|🇸🇬
159.65.12.42:443|Singapore|DigitalOcean, LLC|🇸🇬
165.245.144.113:443|Singapore|DigitalOcean, LLC|🇸🇬
47.82.155.79:8443|Singapore|Alibaba Cloud LLC|🇸🇬
174.138.24.153:443|Singapore|DigitalOcean, LLC|🇸🇬
178.128.125.147:443|Singapore|DigitalOcean, LLC|🇸🇬
157.230.254.79:443|Singapore|DigitalOcean, LLC|🇸🇬
167.71.199.136:443|Singapore|DigitalOcean, LLC|🇸🇬
152.42.169.132:443|Singapore|DigitalOcean, LLC|🇸🇬
178.128.19.168:443|Singapore|DigitalOcean, LLC|🇸🇬
159.65.15.18:443|Singapore|DigitalOcean, LLC|🇸🇬
159.223.50.79:443|Singapore|DigitalOcean, LLC|🇸🇬
159.89.205.195:443|Singapore|DigitalOcean, LLC|🇸🇬
188.166.250.115:443|Singapore|DigitalOcean, LLC|🇸🇬
157.230.255.59:443|Singapore|DigitalOcean, LLC|🇸🇬
43.133.61.219:443|Singapore|6 COLLYER QUAY|🇸🇬
159.223.85.214:443|Singapore|DigitalOcean, LLC|🇸🇬
152.42.217.192:443|Singapore|DigitalOcean, LLC|🇸🇬
5.223.60.212:443|Singapore|Hetzner Online GmbH|🇸🇬
178.128.58.101:443|Singapore|DigitalOcean, LLC|🇸🇬
143.198.85.69:443|Singapore|DigitalOcean, LLC|🇸🇬
140.245.59.102:8443|Singapore|Oracle Corporation|🇸🇬
47.82.155.79:2053|Singapore|Alibaba Cloud LLC|🇸🇬
43.160.195.223:443|Singapore|6 COLLYER QUAY|🇸🇬
38.180.9.18:2053|Singapore|3NT SOLUTIONS LLP|🇸🇬
146.235.16.191:443|Singapore|Oracle Corporation|🇸🇬
157.245.151.130:443|Singapore|DigitalOcean, LLC|🇸🇬
158.178.234.153:443|Singapore|Oracle Corporation|🇸🇬
159.223.78.76:443|Singapore|DigitalOcean, LLC|🇸🇬
68.183.227.22:443|Singapore|DigitalOcean, LLC|🇸🇬
47.82.155.79:443|Singapore|Alibaba Cloud LLC|🇸🇬
143.198.209.123:443|Singapore|DigitalOcean, LLC|🇸🇬
206.189.152.133:443|Singapore|DigitalOcean, LLC|🇸🇬
174.138.18.114:443|Singapore|DigitalOcean, LLC|🇸🇬
45.77.255.153:443|Singapore|Strong Technology, LLC|🇸🇬
159.223.79.119:443|Singapore|DigitalOcean, LLC|🇸🇬
157.230.38.88:443|Singapore|DigitalOcean, LLC|🇸🇬
206.189.82.255:443|Singapore|DigitalOcean, LLC|🇸🇬
167.172.86.195:443|Singapore|DigitalOcean, LLC|🇸🇬
140.245.57.184:8443|Singapore|Oracle Corporation|🇸🇬
139.162.23.48:443|Singapore|Linode, LLC|🇸🇬
51.79.248.128:443|Singapore|OVH SINGAPOR DC|🇸🇬
138.2.87.237:443|Singapore|Oracle Corporation|🇸🇬
